benchmark,modality_pair,comparison,model,n_documents,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
MMLongBench-Doc,layout + plain_text,S_plain_text - S_layout,GPT-4o-mini,14,1.0,1.03386651879915,0.42673612845475845,0.0,2.0,False,positive,0.0,0.08318117849032658,0.0937015469488261,-0.07142857142857142,0.26666666666666666,False,zero
MMLongBench-Doc,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-8B,14,1.0,1.1249632289166178,0.6631499707348525,0.33333333333333326,3.0,True,positive,0.0,0.08740371872692033,0.12334920880534689,-0.13333333333333336,0.33333333333333337,False,zero
MMLongBench-Doc,layout + plain_text,S_plain_text - S_layout,Qwen3-VL-30B,14,0.5714285714285715,0.5845947472712503,0.387568731669151,-0.16666666666666669,1.3333333333333333,False,positive,0.1875,0.27767415025808884,0.1164577111699882,0.0666666666666666,0.5333333333333333,True,positive
MMLongBench-Doc,layout + table,S_table - S_layout,Gemma3-4B,7,1.1003916960438702,1.1045556657773283,0.1172841429135639,0.8936936936936939,1.3000000000000003,True,positive,-0.2567721567721568,-0.09034536293915857,0.23003312252967817,-0.5488911988911989,0.3333333333333333,False,negative
MMLongBench-Doc,layout + table,S_table - S_layout,Gemma3-27B,7,0.9230769230769234,1.1767667144938012,0.812197573122342,-1.0769230769230766,1.9230769230769234,False,positive,-0.10256410256410259,0.013565485130687423,0.12266150842537812,-0.20512820512820518,0.2596153846153846,False,negative
MMLongBench-Doc,layout + table,S_table - S_layout,GPT-4o-mini,7,0.0,0.0,0.0,0.0,0.0,False,zero,0.2222222222222222,0.41833432144978844,0.0970667680806644,0.30000000000000004,0.625,True,positive
MMLongBench-Doc,layout + table,S_table - S_layout,Qwen3-VL-8B,7,-1.0,-0.7463102085831222,0.8121975731223421,-3.0,0.0,False,negative,0.1111111111111111,0.317745094091677,0.13935653761784675,0.1111111111111111,0.6,True,positive
MMLongBench-Doc,layout + table,S_table - S_layout,Qwen3-VL-30B,7,0.33333333333333337,0.2852117587113774,0.19294706114037866,0.0,0.5000000000000001,False,positive,0.3333333333333333,0.5214823890368504,0.14855139417902455,0.30000000000000004,0.875,True,positive
MMLongBench-Doc,plain_text + table,S_table - S_plain_text,Gemma3-4B,27,0.3203125000000001,0.3432107585010684,0.367595987771476,-0.33333333333333326,1.1125,False,positive,-0.015625,0.03441974680717847,0.07800020532527704,-0.1111111111111111,0.19507575757575757,False,negative
MMLongBench-Doc,plain_text + table,S_table - S_plain_text,Gemma3-27B,27,0.596153846153846,0.6186523100679195,0.30247743069453703,0.08333333333333326,1.25,True,positive,0.03472222222222224,0.08204184054266606,0.08384352940339114,-0.08333333333333331,0.2439024390243902,False,positive
MMLongBench-Doc,plain_text + table,S_table - S_plain_text,GPT-4o-mini,27,0.38708430007733946,0.382998161030975,0.20249080243577514,-0.05116279069767443,0.7611781405251951,False,positive,-0.00019425019425009515,0.0489204224106903,0.0822586959578114,-0.10149850149850152,0.22202797202797203,False,negative
MMLongBench-Doc,plain_text + table,S_table - S_plain_text,Qwen3-VL-8B,27,0.28402366863905326,0.2839957939793837,0.29614948561547244,-0.3137254901960784,0.8571428571428571,False,positive,0.04340277777777779,0.09233919419471327,0.05904952426022503,-0.011513157894736836,0.21875,False,positive
MMLongBench-Doc,plain_text + table,S_table - S_plain_text,Qwen3-VL-30B,27,0.21969696969696972,0.23025471800556513,0.32354774870993536,-0.3846153846153846,0.8888888888888888,False,positive,-0.017676767676767707,0.03295760198983592,0.09048723760057455,-0.12918660287081346,0.2231404958677686,False,negative
